first,		last,	q1, q2, q3, q4, q5, q6, q7, q8
Logan,		A.,	13,  5, 11, 15,  6, 12, 10,  5
Stanley,	A.,	12,  5,  9, 19,  9,  8,  8,  4
Yu,		A.,	14,  3,  7, 17,  7,  9,  6,  5
Eric,		B.,	13,  3, 10, 19,  6,  9,  9,  8
Mackinnon,	B.,	13,  3,  7, 16,  6, 13, 10,  7
Yusuf,		B.,	13,  3,  8, 16,  6, 12,  6,  8
Shelby,		C.,	11,  5, 14, 17,  8, 12, 10,  4
Benjamin,	D.,	11,  3,  9, 18, 10, 12, 11,  6
Christina,	D.,	15,  5, 13, 15, 10, 10,  7,  8
Jaelyn,		D.,	10,  6,  7, 20,  6, 13, 10,  4
Calen,		G.,	14,  4, 13, 17,  8, 15,  9,  6
Richa,		G.,	13,  3, 12, 19, 10, 13,  8,  8
Hayden,		H.,	12,  5, 14, 20,  6, 10,  7,  8
Jim,		H.,	14,  4, 14, 17,  7, 10,  7,  8
Bryan,		K.,	13,  6, 12, 15, 10, 14,  6,  8
Jiwon,		L.,	15,  6, 13, 17,  6, 15, 11,  7
Ryan,		L.,	13,  6, 13, 15,  9, 12, 12,  4
Sherry,		L.,	15,  3, 10, 18,  8, 14, 12,  5
Steven,		L.,	14,  6,  7, 19,  9, 14,  9,  5
Wei,		L.,	11,  4, 10, 18, 10,  8,  8,  5
Carter,		M.,	13,  5, 13, 16,  9, 15,  8,  8
Erik,		M.,	10,  6, 12, 18,  8, 10,  9,  8
Justin,		M.,	15,  4, 13, 18, 10, 12,  8,  8
Mari,		M.,	14,  4, 14, 18, 10, 11,  9,  6
Parker,		M.,	15,  6, 12, 18,  8, 14, 11,  8
Yuri,		M.,	14,  3,  8, 19,  9, 11,  7,  5
Viet,		N.,	14,  6, 10, 16,  7, 15,  7,  7
Miya,		P.,	14,  4, 14, 18,  9,  9,  7,  8
Steven,		P.,	14,  5, 12, 17,  6, 15, 12,  4
Arman,		R.,	13,  4,  7, 20,  9,  9,  9,  8
Austin,		S.,	13,  6, 12, 18,  8, 15, 11,  8
Jonah,		S.,	15,  3, 13, 18,  7, 10, 12,  5
Nicholas,	S.,	12,  6, 10, 16,  8, 12, 12,  5
Alex,		T.,	15,  4, 12, 20,  6,  8, 10,  6
Ariel,		T.,	15,  5, 13, 19,  8,  9,  6,  5
Matthew,	T.,	15,  5, 14, 15, 10, 11,  8,  7
Rupal,		T.,	14,  3, 11, 18,  7, 15,  6,  8
Sharmayne,	T.,	14,  4, 13, 19,  8,  8,  7,  4
Megan,		W.,	14,  6, 13, 17,  6,  9, 11,  5
Theodore,	W.,	11,  4, 11, 19, 10, 10, 12,  8
